timestamp,prId,sensorId,userType,utilization,latency
304.00,1,686,genericUser,0.039203,0.216037
304.00,1,491,operaUser,0.022141,0.278042
304.00,1,896,ambulanceUser,0.050326,0.216046
304.00,1,659,genericUser,0.030562,0.278034
308.00,1,428,operaUser,0.023770,0.278035
308.00,1,488,operaUser,0.041248,0.278039
308.00,1,743,genericUser,0.045769,0.278029
312.00,1,791,genericUser,0.035346,0.278034
312.00,1,368,operaUser,0.023518,0.278044
316.00,1,398,operaUser,0.036270,0.278044
316.00,1,641,genericUser,0.054369,0.216049
316.00,1,608,genericUser,0.046836,0.278027
320.00,2,608,genericUser,0.058219,0.278021
320.00,1,881,ambulanceUser,0.064268,0.278039
320.00,1,590,genericUser,0.049409,0.278039
320.00,1,344,operaUser,0.031859,0.278036
324.00,1,821,genericUser,0.028221,0.278032
332.00,1,662,genericUser,0.043891,0.278036
332.00,1,416,operaUser,0.021462,0.278042
332.00,1,815,genericUser,0.051363,0.278029
332.00,1,527,operaUser,0.038887,0.278033
340.00,2,428,operaUser,0.021352,0.278040
340.00,1,779,genericUser,0.040773,0.278031
344.00,1,698,genericUser,0.047556,0.278036
344.00,1,647,genericUser,0.024628,0.278036
344.00,1,680,genericUser,0.036928,0.278046
348.00,1,764,genericUser,0.025203,0.278035
360.00,1,500,operaUser,0.018905,0.278044
372.00,1,845,ambulanceUser,0.047625,0.278039
372.00,1,875,ambulanceUser,0.057480,0.278035
372.00,1,674,genericUser,0.035537,0.278033
372.00,1,575,genericUser,0.014767,0.278040
372.00,1,722,genericUser,0.043867,0.278040
372.00,1,623,genericUser,0.027455,0.278024
376.00,1,644,genericUser,0.032264,0.278035
376.00,1,602,genericUser,0.026722,0.216038
380.00,1,893,ambulanceUser,0.032779,0.278040
380.00,1,848,ambulanceUser,0.019379,0.278044
384.00,1,716,genericUser,0.032646,0.278028
384.00,1,656,genericUser,0.028472,0.278029
388.00,1,863,ambulanceUser,0.042998,0.278045
388.00,1,533,operaUser,0.029262,0.278033
388.00,2,764,genericUser,0.032680,0.278042
392.00,1,872,ambulanceUser,0.034138,0.278038
392.00,1,542,operaUser,0.025131,0.278042
396.00,1,653,genericUser,0.022459,0.278032
396.00,1,860,ambulanceUser,0.049763,0.278043
396.00,2,656,genericUser,0.039913,0.278037
400.00,1,554,genericUser,0.031186,0.278043
400.00,1,413,operaUser,0.023163,0.278037
404.00,1,605,genericUser,0.044433,0.278045
404.00,2,896,ambulanceUser,0.064788,0.278039
404.00,1,818,genericUser,0.063234,0.278034
404.00,1,614,genericUser,0.050460,0.278034
404.00,1,380,operaUser,0.028014,0.278043
408.00,1,800,genericUser,0.056696,0.278036
408.00,1,809,genericUser,0.068132,0.278041
408.00,1,728,genericUser,0.035961,0.278045
408.00,1,830,genericUser,0.074798,0.278019
408.00,1,749,genericUser,0.050183,0.278029
408.00,1,308,operaUser,0.031368,0.278041
412.00,1,785,genericUser,0.018173,0.278024
412.00,1,899,ambulanceUser,0.026983,0.278034
416.00,1,548,genericUser,0.027601,0.278043
416.00,1,503,operaUser,0.016120,0.278044
420.00,1,707,genericUser,0.016157,0.278033
420.00,1,740,genericUser,0.041921,0.278034
420.00,1,725,genericUser,0.032034,0.278037
424.00,1,317,operaUser,0.037296,0.278046
428.00,1,683,genericUser,0.025924,0.278042
432.00,2,881,ambulanceUser,0.038943,0.216034
432.00,1,332,operaUser,0.021500,0.278035
432.00,2,554,genericUser,0.029989,0.278066
436.00,1,374,operaUser,0.022170,0.278034
436.00,1,449,operaUser,0.034455,0.278031
436.00,1,755,genericUser,0.043001,0.278029
440.00,3,608,genericUser,0.034024,0.278028
444.00,1,884,ambulanceUser,0.051971,0.278046
444.00,1,497,operaUser,0.023662,0.278038
444.00,1,596,genericUser,0.048092,0.278033
444.00,2,500,operaUser,0.032457,0.278038
448.00,1,665,genericUser,0.038283,0.278036
448.00,2,863,ambulanceUser,0.057234,0.278036
448.00,3,764,genericUser,0.041910,0.278031
448.00,2,344,operaUser,0.023986,0.278039
448.00,2,860,ambulanceUser,0.049073,0.278034
452.00,3,344,operaUser,0.022258,0.278039
452.00,2,590,genericUser,0.038997,0.278053
452.00,1,563,genericUser,0.035192,0.278022
456.00,2,416,operaUser,0.032735,0.278052
456.00,2,491,operaUser,0.046469,0.278045
456.00,1,638,genericUser,0.055311,0.278040
460.00,1,362,operaUser,0.016858,0.278034
460.00,1,482,operaUser,0.037652,0.278040
460.00,1,515,operaUser,0.046124,0.278043
460.00,3,554,genericUser,0.052576,0.278057
464.00,2,722,genericUser,0.037177,0.278044
464.00,1,431,operaUser,0.020425,0.278045
464.00,2,779,genericUser,0.048145,0.278030
464.00,1,650,genericUser,0.028709,0.278027
468.00,1,767,genericUser,0.043574,0.278047
468.00,1,461,operaUser,0.038879,0.278043
468.00,1,389,operaUser,0.023933,0.278044
472.00,2,743,genericUser,0.036448,0.278038
476.00,1,689,genericUser,0.039727,0.278038
476.00,2,413,operaUser,0.011772,0.278046
476.00,1,752,genericUser,0.042539,0.278032
476.00,2,680,genericUser,0.032550,0.278038
480.00,2,848,ambulanceUser,0.043447,0.278040
480.00,2,899,ambulanceUser,0.061058,0.278043
480.00,2,893,ambulanceUser,0.051340,0.278032
480.00,2,497,operaUser,0.030944,0.278044
480.00,2,725,genericUser,0.040113,0.278036
484.00,1,524,operaUser,0.043448,0.278047
484.00,1,803,genericUser,0.051642,0.278035
484.00,2,515,operaUser,0.031676,0.278037
488.00,1,797,genericUser,0.047635,0.278044
488.00,3,722,genericUser,0.039450,0.278032
488.00,1,404,operaUser,0.035781,0.278041
492.00,1,890,ambulanceUser,0.048487,0.278041
492.00,1,305,operaUser,0.021896,0.278029
492.00,2,638,genericUser,0.034721,0.278043
492.00,4,722,genericUser,0.040617,0.278043
496.00,1,734,genericUser,0.043029,0.278033
496.00,1,731,genericUser,0.028391,0.278039
500.00,3,860,ambulanceUser,0.040690,0.278033
500.00,1,857,ambulanceUser,0.032925,0.278041
500.00,1,632,genericUser,0.027055,0.278036
508.00,2,689,genericUser,0.025999,0.278040
508.00,3,743,genericUser,0.033817,0.278030
508.00,1,782,genericUser,0.054213,0.278037
512.00,1,827,genericUser,0.055115,0.278037
512.00,2,662,genericUser,0.031876,0.278033
516.00,1,770,genericUser,0.029771,0.278039
516.00,1,626,genericUser,0.022855,0.278030
520.00,1,842,genericUser,0.065155,0.278035
520.00,1,773,genericUser,0.060025,0.278034
520.00,2,707,genericUser,0.055552,0.278039
520.00,3,500,operaUser,0.037322,0.216031
524.00,1,794,genericUser,0.048530,0.278032
524.00,1,410,operaUser,0.041461,0.216048
528.00,3,896,ambulanceUser,0.029999,0.278041
532.00,1,422,operaUser,0.025501,0.278046
532.00,1,788,genericUser,0.046203,0.278036
536.00,1,692,genericUser,0.043781,0.278040
536.00,1,566,genericUser,0.035389,0.278022
536.00,2,734,genericUser,0.052615,0.278042
540.00,2,683,genericUser,0.018886,0.278041
548.00,1,854,ambulanceUser,0.024290,0.278047
548.00,1,878,ambulanceUser,0.038091,0.278036
548.00,3,893,ambulanceUser,0.043345,0.278039
552.00,1,572,genericUser,0.025124,0.278034
552.00,2,665,genericUser,0.031226,0.278035
552.00,2,716,genericUser,0.039646,0.278031
552.00,1,866,ambulanceUser,0.042511,0.278033
