timestamp,prId,sensorId,userType,utilization,latency
6600.00,23,22,immobileUser,0.039930,0.154034
6900.00,24,22,immobileUser,0.048352,0.154039
6900.00,32,16,immobileUser,0.044540,0.154041
6900.00,33,16,immobileUser,0.038800,0.154040
6900.00,19,13,immobileUser,0.053068,0.154037
7200.00,21,10,immobileUser,0.053068,0.154037
7200.00,34,16,immobileUser,0.048352,0.154039
7200.00,22,10,immobileUser,0.044540,0.154041
7200.00,21,19,immobileUser,0.041233,0.154037
7200.00,35,16,immobileUser,0.039930,0.154034
7200.00,20,13,immobileUser,0.038800,0.154040
